"Trial"	"Subject"	"StartPosition"	"EndPosition"	"DistToTarget"	"DistMoved"	"PressTime"	"AbsError"	"Error"	"Condition"	"Phase"	"Puck"	"Mass"
56	"KA01NS"	1.589185	6.70603131999995	3.410815	5.11684631999995	0.9999996	1.70603131999995	1.70603131999995	2	3	"FiveRings"	1.5
57	"KA01NS"	0.6024346	5.51705059999995	4.3975654	4.91461599999995	0.9799996	0.51705059999995	0.51705059999995	2	3	"FiveRings"	1.5
58	"KA01NS"	3.128067	6.40605160799997	1.871933	3.27798460799997	0.7999998	1.40605160799997	1.40605160799997	2	3	"FiveRings"	1.5
59	"KA01NS"	0.486104	6.67529759999994	4.513896	6.18919359999994	1.1	1.67529759999994	1.67529759999994	2	3	"FiveRings"	1.5
60	"KA01NS"	1.624678	5.23781061999996	3.375322	3.61313261999996	0.8399997	0.237810619999964	0.237810619999964	2	3	"FiveRings"	1.5
61	"KA01NS"	0.5679584	5.48257439999995	4.4320416	4.91461599999995	0.9799996	0.482574399999951	0.482574399999951	2	3	"FiveRings"	1.5
62	"KA01NS"	3.519201	5.75259616399998	1.480799	2.23339516399998	0.6599999	0.752596163999979	0.752596163999979	2	3	"FiveRings"	1.5
63	"KA01NS"	2.41035	7.12681167999996	2.58965	4.71646167999996	0.9599996	2.12681167999996	2.12681167999996	2	3	"FiveRings"	1.5
64	"KA01NS"	3.466992	5.97846152399998	1.533008	2.51146952399998	0.6999999	0.978461523999975	0.978461523999975	2	3	"FiveRings"	1.5
65	"KA01NS"	3.190636	5.29110798399998	1.809364	2.10047198399998	0.6399999	0.291107983999979	0.291107983999979	2	3	"FiveRings"	1.5
66	"KA01NS"	2.789409	6.57623995999996	2.210591	3.78683095999996	0.8599997	1.57623995999996	1.57623995999996	2	3	"FiveRings"	1.5
67	"KA01NS"	0.6096945	6.57626249999994	4.3903055	5.96656799999994	1.08	1.57626249999994	1.57626249999994	2	3	"FiveRings"	1.5
68	"KA01NS"	0.9463019	5.46868525999995	4.0536981	4.52238335999995	0.9399996	0.468685259999954	0.468685259999954	2	3	"FiveRings"	1.5
69	"KA01NS"	3.077022	6.35500660799997	1.922978	3.27798460799997	0.7999998	1.35500660799997	1.35500660799997	2	3	"FiveRings"	1.5
70	"KA01NS"	1.180406	8.06192055999993	3.819594	6.88151455999993	1.159999	3.06192055999993	3.06192055999993	2	3	"FiveRings"	1.5
71	"KA01NS"	3.741118	5.35070311999999	1.258882	1.60958511999999	0.56	0.350703119999985	0.350703119999985	2	3	"FiveRings"	1.5
72	"KA01NS"	3.918488	4.74198704	1.081512	0.823499040000004	0.4	0.258012959999997	-0.258012959999997	2	3	"FiveRings"	1.5
73	"KA01NS"	2.324222	5.28337228799997	2.675778	2.95915028799997	0.7599998	0.283372287999972	0.283372287999972	2	3	"FiveRings"	1.5
74	"KA01NS"	0.723197	4.16671276799997	4.276803	3.44351576799997	0.8199998	0.833287232000033	-0.833287232000033	2	3	"FiveRings"	1.5
75	"KA01NS"	2.272061	6.41851663999996	2.727939	4.14645563999996	0.8999997	1.41851663999996	1.41851663999996	2	3	"FiveRings"	1.5
76	"KA01NS"	0.2313862	9.13852535999991	4.7686138	8.90713915999991	1.319999	4.13852535999991	4.13852535999991	2	3	"FiveRings"	1.5
77	"KA01NS"	0.1548138	8.01650255999992	4.8451862	7.86168875999992	1.239999	3.01650255999992	3.01650255999992	2	3	"FiveRings"	1.5
78	"KA01NS"	2.128518	5.40650260799997	2.871482	3.27798460799997	0.7999998	0.406502607999968	0.406502607999968	2	3	"FiveRings"	1.5
79	"KA01NS"	1.501386	4.46053628799997	3.498614	2.95915028799997	0.7599998	0.539463712000028	-0.539463712000028	2	3	"FiveRings"	1.5
80	"KA01NS"	3.982785	4.38799524	1.017215	0.405210240000001	0.28	0.612004759999999	-0.612004759999999	2	3	"FiveRings"	1.5
81	"KA01NS"	3.854512	5.03844161200001	1.145488	1.183929612	0.4800001	0.0384416120000051	0.0384416120000051	2	3	"FiveRings"	1.5
82	"KA01NS"	0.355669	3.63365360799997	4.644331	3.27798460799997	0.7999998	1.36634639200003	-1.36634639200003	2	3	"FiveRings"	1.5
83	"KA01NS"	0.3376055	7.21912005999993	4.6623945	6.88151455999993	1.159999	2.21912005999993	2.21912005999993	2	3	"FiveRings"	1.5
84	"KA01NS"	0.1883616	7.06987615999993	4.8116384	6.88151455999993	1.159999	2.06987615999993	2.06987615999993	2	3	"FiveRings"	1.5
